Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,YTD (1),Share
Europe,"748,793","687,296","1,244,957","1,265,129","1,863,752","2,416,683","2,119,468","1,851,968","1,854,896","1,424,376","1,060,561","1,204,379","17,742,258",12.30%,19.10%
Caribbean,"598,896","673,271","889,631","722,504","725,539","900,872","951,631","746,542","451,939","537,150","654,185","850,057","8,702,217",4.60%,9.40%
Asia,"490,348","422,237","589,421","529,962","514,853","582,670","548,732","445,041","444,563","556,296","557,694","571,086","6,252,903",8.40%,6.70%
South America,"142,741","153,627","191,110","145,104","165,023","206,951","190,062","179,596","139,333","152,095","179,185","259,280","2,104,107",9.30%,2.30%
Central America,"253,091","276,689","359,897","243,640","243,452","341,323","329,889","243,051","156,574","181,356","246,984","360,787","3,236,733",6.80%,3.50%
Oceania,"73,516","90,014","87,278","56,432","55,706","66,414","64,742","52,570","53,774","65,396","86,389","108,323","860,554",10.80%,0.90%
Middle East,"200,003","181,962","222,711","174,918","198,933","251,942","244,088","208,352","164,429","183,827","185,829","226,297","2,443,291",5.90%,2.60%
Africa,"26,621","23,962","35,512","29,709","34,189","48,286","50,310","43,275","32,450","31,875","31,548","44,008","431,745",7.10%,0.50%
,,,,,,,,,,,,,,,
Total Overseas (2),"2,534,009","2,509,058","3,620,517","3,167,398","3,801,447","4,815,141","4,498,922","3,770,395","3,297,958","3,132,371","3,002,375","3,624,217","41,773,808",9.00%,44.90%
,,,,,,,,,,,,,,,
Mexico (Total) (3)(P),"2,960,013","2,856,851","3,539,294","2,940,801","2,938,063","3,073,737","3,225,908","3,085,291","2,649,390","2,785,819","3,088,486","3,779,359","36,923,011",5.70%,39.70%
Mexico (Air) (2),"786,491","836,479","1,082,603","809,207","804,105","1,044,130","1,024,090","739,417","495,518","653,393","768,359","1,031,395","10,075,187",2.70%,-6
Canada (Total) (4),"563,106","641,639","823,507","777,445","1,175,793","1,867,484","2,234,548","2,155,630","1,357,181","1,030,684","770,223","944,198","14,341,438",0.40%,15.40%
Canada (Air) (4),"237,784","250,300","310,110","290,516","364,301","555,149","594,140","542,538","426,456","372,862","301,557","338,496","4,584,209",-4.10%,-6
North America,"3,523,119","3,498,490","4,362,801","3,718,246","4,113,856","4,941,221","5,460,456","5,240,921","4,006,571","3,816,503","3,858,709","4,723,557","51,264,449",4.10%,55.10%
,,,,,,,,,,,,,,,
Grand Total,"6,057,128","6,007,548","7,983,318","6,885,644","7,915,303","9,756,362","9,959,378","9,011,316","7,304,529","6,948,874","6,861,084","8,347,774","93,038,257",6.30%,100.00%
Monthly % Chg (1),6.80%,8.00%,14.40%,-0.40%,6.20%,5.10%,2.10%,10.00%,7.00%,6.60%,5.70%,5.40%,,,